0 1 2
0 1 4
0 1 8
0 1 11
0 1 12
0 1 15
0 1 18
0 1 32
0 1 36
0 1 39
0 1 41
0 1 42
0 1 46
0 1 48
0 1 50
0 1 51
0 1 53
0 1 54
0 1 58
0 1 73
0 1 76
0 1 78
0 1 82
0 1 83
0 1 86
0 1 95
0 1 97
0 1 98
0 1 99
0 1 101
0 1 103
0 1 104
0 1 106
0 1 107
0 1 109
0 1 118
0 1 121
0 1 126
0 1 128
0 1 131
0 1 132
0 1 134
0 1 136
0 1 137
0 1 138
0 1 140
0 1 142
0 1 144
0 1 145
0 1 149
0 1 153
0 1 155
0 1 160
0 1 167
0 1 168
0 1 169
0 1 174
0 1 181
0 1 182
0 1 183
0 1 185
0 1 189
0 1 191
0 1 192
0 1 195
0 1 198
0 1 200
0 1 208
0 1 209
0 1 212
0 1 213
0 1 217
0 1 219
0 1 220
0 1 228
0 1 229
0 1 230
0 1 232
0 1 233
0 1 234
0 1 235
0 1 237
0 1 240
0 1 243
0 1 244
0 1 245
0 1 246
0 1 249
0 1 255
0 1 259
0 1 260
0 1 266
0 1 269
0 1 273
0 1 274
0 1 276
0 1 277
0 1 279
0 1 280
0 1 287
0 1 290
0 1 295
0 1 296
0 1 297
0 1 298
0 1 300
0 1 303
0 1 304
0 1 305
0 1 308
0 1 309
0 1 311
0 1 315
0 1 316
0 1 321
0 1 325
0 1 326
0 1 334
0 1 337
0 1 341
0 1 343
0 1 344
0 1 346
0 1 350
0 1 352
0 1 355
0 1 356
0 1 359
0 1 368
0 1 369
0 1 373
0 1 376
0 1 379
0 1 385
0 1 388
0 1 392
0 1 397
0 1 398
0 1 401
0 1 409
0 1 414
0 1 415
0 1 416
0 1 422
0 1 423
0 1 424
0 1 427
0 1 430
0 1 431
0 1 432
0 1 433
0 1 447
0 1 451
0 1 453
0 1 454
0 1 458
0 1 472
0 1 474
0 1 477
0 1 480
0 1 489
0 1 494
0 1 500
0 1 506
0 1 508
0 1 513
0 1 517
0 1 519
0 1 533
0 1 534
0 1 544
0 1 545
0 1 550
0 1 551
0 1 552
0 1 553
0 1 554
0 1 558
0 1 562
0 1 566
0 1 573
0 1 574
0 1 576
0 1 578
0 1 585
0 1 586
0 1 592
0 1 595
0 1 598
0 1 599
0 1 602
0 1 603
0 1 607
0 1 612
0 1 614
0 1 616
0 1 620
0 1 621
0 1 623
0 1 633
0 1 636
0 1 641
0 1 644
0 1 647
0 1 648
0 1 651
0 1 652
0 1 654
0 1 656
0 1 658
0 1 662
0 1 665
0 1 666
0 1 673
0 1 674
0 1 680
0 1 685
0 1 687
0 1 689
0 1 690
0 1 700
0 1 701
0 1 707
0 1 709
0 1 711
0 1 712
0 1 715
0 1 719
0 1 722
0 1 727
0 1 737
0 1 740
0 1 741
0 1 743
0 1 746
0 1 747
0 1 749
0 1 751
0 1 754
0 1 755
0 1 757
0 1 758
0 1 769
0 1 773
0 1 774
0 1 778
0 1 781
0 1 784
0 1 785
0 1 787
0 1 791
0 1 795
0 1 800
0 1 805
0 1 806
0 1 807
0 1 810
0 1 817
0 1 820
0 1 822
0 1 825
0 1 830
0 1 833
0 1 836
0 1 845
0 1 851
0 1 855
0 1 856
0 1 869
0 1 870
0 1 871
0 1 874
0 1 876
0 1 877
0 1 882
0 1 883
0 1 884
0 1 889
0 1 891
0 1 893
0 1 895
0 1 897
0 1 898
0 1 899
0 1 906
0 1 908
0 1 909
0 1 910
0 1 920
0 1 924
0 1 929
0 1 930
0 1 931
0 1 935
0 1 936
0 1 940
0 1 941
0 1 947
0 1 949
0 1 950
0 1 951
0 1 952
0 1 957
0 1 959
0 1 960
0 1 962
0 1 968
0 1 970
0 1 971
0 1 976
0 1 979
0 1 982
0 1 983
0 1 986
0 1 988
0 1 991
0 1 994
0 1 995
0 1 998
0 1 999
0 1 1002
0 1 1003
0 1 1005
0 1 1009
0 1 1010
0 1 1013
0 1 1014
0 1 1021
0 1 1023
0 1 1026
0 1 1030
0 1 1038
0 1 1044
0 1 1046
0 1 1048
0 1 1051
0 1 1055
0 1 1059
0 1 1063
0 1 1064
0 1 1065
0 1 1069
0 1 1074
0 1 1077
0 1 1078
0 1 1084
0 1 1086
0 1 1087
0 1 1093
0 1 1095
0 1 1103
0 1 1104
0 1 1105
0 1 1110
0 1 1115
0 1 1116
0 1 1118
0 1 1132
0 1 1136
0 1 1140
0 1 1147
0 1 1148
0 1 1150
0 1 1153
0 1 1157
0 1 1161
0 1 1163
0 1 1164
0 1 1168
0 1 1169
0 1 1172
0 1 1177
0 1 1184
0 1 1185
0 1 1186
0 1 1189
0 1 1192
0 1 1195
0 1 1207
0 1 1210
0 1 1211
0 1 1212
0 1 1216
0 1 1217
0 1 1223
0 1 1224
0 1 1226
0 1 1228
0 1 1229
0 1 1230
0 1 1238
0 1 1244
0 1 1246
0 1 1253
0 1 1255
0 1 1257
0 1 1266
0 1 1267
0 1 1268
0 1 1269
0 1 1271
0 1 1275
0 1 1278
0 1 1281
0 1 1283
0 1 1293
0 1 1294
0 1 1296
0 1 1298
0 1 1305
0 1 1312
0 1 1313
0 1 1315
0 1 1321
0 1 1325
0 1 1327
0 1 1331
0 1 1334
